FirstName,LastName,Email,Pledge,Lifetime,Status,Country,Start
1 + Reward,,,,,,,
John,Doe,johndoe@bogusemail.com,10,20,Ok,,2017-05-06 21:28:06
Dave,Smith,davesmith@bogusemail.com,5,10,Ok,,2017-05-29 16:13:58
Mary,Jacobs,maryjacobs@bogusemail.com,5,10,Ok,,2017-05-14 07:37:01
Jane,Stuart,janestuart@bogusemail.com,5,25,Ok,,2016-12-30 18:12:13
Tom,Wright,tomwright@bogusemail.com,5,15,Ok,,2017-04-14 04:02:06
Steve,Robinson,steverobinson@bogusemail.com,5,20,Ok,,2017-03-17 02:20:14
Nicole,Jacobs,nicolejacobs@bogusemail.com,5,20,Ok,,2017-03-12 17:07:29
Jane,Wright,janewright@bogusemail.com,5,25,,,2017-01-14 17:40:06
Jane,Doe,janedoe@bogusemail.com,2.5,5,Ok,,2017-05-14 11:20:50
Kurt,Wright,kurtwright@bogusemail.com,2,2,Ok,,2017-06-23 21:12:15
Kurt,Robinson,kurtrobinson@bogusemail.com,2,4,Ok,,2017-05-03 03:18:54
Jane,Jenkins,janejenkins@bogusemail.com,2,8,Ok,,2017-03-23 16:37:47
Neil,Robinson,neilrobinson@bogusemail.com,1.5,3,Ok,,2017-05-26 19:59:51
Tom,Patterson,tompatterson@bogusemail.com,1.34,4.02,Ok,,2017-04-27 01:55:12
Sam,Jenkins,samjenkins@bogusemail.com,1,0,Ok,,2017-07-16 02:34:47
Steve,Stuart,stevestuart@bogusemail.com,1,1,Ok,,2017-06-12 03:32:00
Maggie,Patterson,maggiepatterson@bogusemail.com,1,2,Ok,,2017-05-26 01:23:14
Maggie,Stuart,maggiestuart@bogusemail.com,1,2,Ok,,2017-05-19 23:11:08
Jane,Doe,janedoe@bogusemail.com,1,3,Ok,,2017-04-15 19:40:17
Steve,Patterson,stevepatterson@bogusemail.com,1,3,Ok,,2017-04-09 17:14:23
Dave,Smith,davesmith@bogusemail.com,1,3,Ok,,2017-04-01 18:35:10
Sam,Wilks,samwilks@bogusemail.com,1,4,Ok,,2017-03-01 09:40:56
Kurt,Jefferson,kurtjefferson@bogusemail.com,1,5,Ok,,2017-02-24 08:23:05
Sam,Stuart,samstuart@bogusemail.com,1,5,Ok,,2017-02-12 00:14:31
Jane,Stuart,janestuart@bogusemail.com,1,5,Ok,,2017-02-06 14:52:28
Dave,Davis,davedavis@bogusemail.com,1,0,,,2016-11-18 01:37:25
Sam,Patterson,sampatterson@bogusemail.com,1,8,Ok,,2016-11-01 11:27:17
Tom,Jefferson,tomjefferson@bogusemail.com,1,10,Ok,,2016-09-27 09:56:48
Jane,Stuart,janestuart@bogusemail.com,1,7,,,2016-08-09 14:42:25
Maggie,Jefferson,maggiejefferson@bogusemail.com,1,12,Ok,,2016-07-26 05:02:16
No Reward,Description: (None for No Reward),,,,,,
Mary,Wilks,marywilks@bogusemail.com,20,60,Ok,,2017-04-21 02:44:43
Neil,Patterson,neilpatterson@bogusemail.com,10,80,Ok,,2016-11-12 17:49:37
Corey,Davis,coreydavis@bogusemail.com,6,90,Ok,,2016-04-01 15:19:52
Steve,Jacobs,stevejacobs@bogusemail.com,5,21,Ok,,2017-01-04 19:38:44
Jane,Jenkins,janejenkins@bogusemail.com,5,30,Ok,,2017-01-15 17:24:39
John,Jacobs,johnjacobs@bogusemail.com,3.14,34.54,Ok,,2016-08-23 16:09:25
Neil,Smith,neilsmith@bogusemail.com,3,24,Ok,,2016-11-28 02:57:48
Corey,Wilks,coreywilks@bogusemail.com,2,8,Ok,,2017-03-26 20:13:08
Corey,Smith,coreysmith@bogusemail.com,1,0,Ok,,2017-07-05 01:50:35
Mary,Patterson,marypatterson@bogusemail.com,1,0,Ok,,2017-07-04 18:05:23
Jane,Stuart,janestuart@bogusemail.com,1,2,Ok,,2017-05-21 19:42:36
Travis,Arnold,travisarnold@bogusemail.com,1,3,Ok,,2017-04-19 08:04:33
John,Robinson,johnrobinson@bogusemail.com,1,4,Ok,,2017-03-30 14:59:33
Travis,Arnold,travisarnold@bogusemail.com,1,6,Ok,,2017-01-28 22:02:57
